01. symbol,02. open,03. high,04. low,05. price,06. volume,07. latest trading day,08. previous close,09. change,10. change percent
RIO,54.8900,54.9400,53.2200,53.2200,3838809,2022-09-21,55.1100,-1.8900,-3.4295%
ROST,88.9500,90.8600,87.5800,87.8500,2302392,2022-09-21,88.3000,-0.4500,-0.5096%
SHEL,53.4500,53.5900,52.3000,52.3300,5106800,2022-09-21,52.8500,-0.5200,-0.9839%
CRM,151.2200,153.3000,147.5100,147.6300,5840044,2022-09-21,149.8000,-2.1700,-1.4486%
,,,,,,,,,
SAP,83.0700,84.0100,82.1800,82.3400,1111709,2022-09-21,82.9300,-0.5900,-0.7114%
SLB,39.1100,39.4300,37.5500,37.5800,9018669,2022-09-21,38.5000,-0.9200,-2.3896%
SE,56.8900,59.2000,56.5600,57.0400,4207501,2022-09-21,57.4400,-0.4000,-0.6964%
SHOP,31.0400,32.4300,30.5000,30.5500,28640410,2022-09-21,30.9500,-0.4000,-1.2924%
SIEGY,49.4400,50.3800,48.9100,48.9100,343054,2022-09-21,49.5500,-0.6400,-1.2916%
SNAP,11.2100,11.4883,10.8350,10.8500,29111936,2022-09-21,11.1200,-0.2700,-2.4281%
SNA,218.9400,221.5000,215.6300,215.7900,242967,2022-09-21,217.2400,-1.4500,-0.6675%
SNOW,183.2000,188.9100,178.6800,178.7200,5369674,2022-09-21,182.7400,-4.0200,-2.1998%
SONY,70.8800,71.4900,69.9100,69.9100,657455,2022-09-21,71.1700,-1.2600,-1.7704%
SCCO,47.5100,47.5900,45.3600,45.3600,1208789,2022-09-21,47.3200,-1.9600,-4.1420%
SPOT,96.9600,99.4274,95.1200,95.3900,869022,2022-09-21,97.2600,-1.8700,-1.9227%
SQ,61.3600,63.5100,59.4500,59.4500,14296819,2022-09-21,61.4700,-2.0200,-3.2862%
,,,,,,,,,
SBUX,91.2900,91.5200,88.5700,88.6000,8744790,2022-09-21,90.7900,-2.1900,-2.4122%
SUZ,8.5200,8.5500,8.3400,8.3500,1715506,2022-09-21,8.5200,-0.1700,-1.9953%
SYY,80.0100,80.5100,78.4300,78.4500,1874896,2022-09-21,79.5300,-1.0800,-1.3580%
TSM,77.5800,79.3100,77.1400,77.1400,10846290,2022-09-21,78.1500,-1.0100,-1.2924%
TGT,161.0000,163.8200,159.0300,159.0300,2756732,2022-09-21,160.0300,-1.0000,-0.6249%
TTM,26.8300,26.8700,26.2300,26.2500,407565,2022-09-21,26.8900,-0.6400,-2.3801%
OAOFY,9.5500,9.5500,9.5500,9.5500,0,2022-09-21,9.5500,0.0000,0.0000%
TIIAY,1.9000,1.9325,1.8900,1.8900,226728,2022-09-21,1.8400,0.0500,2.7174%
VIV,7.9800,8.0700,7.9000,7.9400,1407325,2022-09-21,7.9800,-0.0400,-0.5013%
TEF,3.6200,3.6300,3.5400,3.5700,2056942,2022-09-21,3.7300,-0.1600,-4.2895%
TS,27.7600,27.8500,26.5850,26.6200,1899425,2022-09-21,26.8800,-0.2600,-0.9673%
TX,29.1400,29.7100,28.7450,28.9300,295367,2022-09-21,28.8500,0.0800,0.2773%
TSLA,308.2900,313.8000,300.6300,300.8000,61693897,2022-09-21,308.7300,-7.9300,-2.5686%
TXN,166.5300,170.2500,163.1900,163.3000,6502121,2022-09-21,166.0600,-2.7600,-1.6620%
TMO,533.1200,540.2100,524.2000,525.6900,1236109,2022-09-21,532.1600,-6.4700,-1.2158%
TIMB,11.6600,11.7600,11.5100,11.5400,417333,2022-09-21,11.6500,-0.1100,-0.9442%
TTE,48.8400,48.9800,47.8000,47.8000,2806989,2022-09-21,48.0500,-0.2500,-0.5203%
TM,139.5000,140.0000,137.5700,137.5800,237605,2022-09-21,140.7300,-3.1500,-2.2383%
TRV,161.1800,161.7850,157.0400,157.0600,1028147,2022-09-21,160.9500,-3.8900,-2.4169%
TCOM,25.9500,26.0900,24.3000,24.4300,5446150,2022-09-21,26.7000,-2.2700,-8.5019%
TRIP,24.6200,24.6300,22.9101,23.5300,2540916,2022-09-21,24.6200,-1.0900,-4.4273%
TWLO,74.5200,76.2400,72.5000,72.8000,3418919,2022-09-21,74.5100,-1.7100,-2.2950%
TWTR,41.7900,42.1850,41.2700,41.2700,6770628,2022-09-21,41.6800,-0.4100,-0.9837%
UGP,2.5800,2.5900,2.5036,2.5400,965085,2022-09-21,2.5500,-0.0100,-0.3922%
UL,45.3800,46.1800,45.3500,45.5300,3362011,2022-09-21,45.2200,0.3100,0.6855%
UNP,214.8900,216.9550,211.7600,211.8900,1868904,2022-09-21,213.2700,-1.3800,-0.6471%
X,20.5000,20.7783,19.8500,19.8500,12600275,2022-09-21,20.3300,-0.4800,-2.3610%
UNH,525.0300,528.0100,512.0200,512.0800,2338274,2022-09-21,522.8000,-10.7200,-2.0505%
URBN,21.2700,21.8300,21.0300,21.1300,1374159,2022-09-21,21.0800,0.0500,0.2372%
USB,45.0600,45.4300,43.9200,43.9300,6925589,2022-09-21,44.9900,-1.0600,-2.3561%
VALE,13.5000,13.5500,13.1300,13.1300,46237247,2022-09-21,13.4000,-0.2700,-2.0149%
VRSN,177.2000,182.1500,176.2400,176.7200,1052897,2022-09-21,174.7300,1.9900,1.1389%
VZ,40.6900,40.9000,39.4700,39.4800,25190331,2022-09-21,40.5900,-1.1100,-2.7347%
V,192.5300,193.0900,187.0000,187.0200,6507372,2022-09-21,192.0700,-5.0500,-2.6292%
,,,,,,,,,
VOD,12.3800,12.5200,12.2800,12.2800,6923366,2022-09-21,12.1600,0.1200,0.9868%
WBA,34.1960,34.4099,33.4300,33.4300,4928353,2022-09-21,33.9900,-0.5600,-1.6475%
WMT,135.4400,137.4500,134.6200,134.7700,8188313,2022-09-21,133.5500,1.2200,0.9135%
DIS,107.3900,108.0400,104.4900,104.4900,9545075,2022-09-21,107.5700,-3.0800,-2.8633%
WB,18.6700,19.1900,18.5900,18.7300,790475,2022-09-21,18.9300,-0.2000,-1.0565%
WFC,43.6600,43.8100,42.2400,42.2700,18840949,2022-09-21,43.4100,-1.1400,-2.6261%
XRX,16.3000,16.3800,15.3500,15.3600,1904529,2022-09-21,16.1800,-0.8200,-5.0680%
XP,19.8200,19.9400,19.2550,19.7600,2771468,2022-09-21,19.7000,0.0600,0.3046%
AUY,4.2600,4.4400,4.1800,4.2800,12690167,2022-09-21,4.2200,0.0600,1.4218%
YZCAY,39.7200,39.9400,39.5000,39.8400,4564,2022-09-21,38.2200,1.6200,4.2386%
YELP,34.5800,34.8700,33.7400,33.7800,631378,2022-09-21,34.2700,-0.4900,-1.4298%
ZM,77.8300,78.8300,75.3200,75.9400,3247023,2022-09-21,77.0900,-1.1500,-1.4918%
