Apertura,Cantidad_Nominal_Compra,Cantidad_Nominal_Venta,Cantidad_Operaciones,Cierre_Anterior,Denominacion,Estado,Ex,Hora_Cotizacion,Maximo,Minimo,Monto_Operado_Pesos,Precio_Compra,Precio_Promedio,Precio_Promedio_Ponderado,Precio_Venta,Simbolo,Tendencia,Tipo_Liquidacion,Ultimo,Variacion,Vencimiento,Volumen_Nominal
0.0,17,40,,0.0,,,No,,0.0,0.0,0,6.09,0.0,0.0,7.5,BPD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
2460.0,1,1,7,2510.5,BANCO COMAFI S.A.,,No,17:00:02,2555.0,2460.0,160981,2490.0,2502.7143,2516.4098,3100.0,BRFS,1,Pesos,2502.0,-0.34,48hs,64
3850.0,5,118,310,3807.5,BANCO COMAFI S.A.,,No,17:00:02,3881.0,3774.0,26502946,3700.0,3842.6484,3838.2112,4300.0,BRKB,-1,Pesos,3784.5,-0.6,48hs,6876
13.4,3,8,12,13.0,,,No,17:00:02,13.4,12.7,1195,12.5,13.1583,13.1313,14.8,BRKBD,-1,Du00f3lar efectivo,13.0,0.0,48hs,91
1796.0,2070,1,14,1832.0,BANCO COMAFI S.A.,,No,17:00:02,1844.5,1796.0,1660144,1821.0,1816.1071,1820.0091,1900.0,BSBR,-1,Pesos,1842.5,0.57,48hs,919
4738.0,1,20,55,4764.5,BANCO COMAFI S.A.,,No,17:00:02,4855.0,4735.0,7503162,4670.0,4798.5273,4807.0924,4755.0,C,0,Pesos,4758.0,-0.14,48hs,1559
16.0,10,5,1,16.1,,,No,17:00:02,16.0,16.0,224,15.9,16.0,16.0,17.9,C.D,0,Du00f3lar efectivo,16.0,-0.62,48hs,14
8412.0,550,550,10,8372.5,BANCO COMAFI S.A.,,No,17:00:02,8600.0,8412.0,572386,8495.0,8519.7,8568.1103,8551.5,CAAP,1,Pesos,8584.0,2.53,48hs,67
6917.0,1680,927,2,6890.0,BANCO COMAFI S.A.,,No,17:00:02,6917.0,6917.0,13834,6878.5,6917.0,6917.0,6914.0,CAH,0,Pesos,6917.0,0.39,48hs,2
0.0,2630,1861,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,3466.5,0.0,0.0,3493.0,CAJ,0,Pesos,0.0,0.0,48hs,0
45990.5,82,1,46,45479.5,BANCO COMAFI S.A.,,No,17:00:02,48226.0,45972.0,22426951,45417.0,47970.4348,48128.9477,75216.0,CAR,-1,Pesos,46598.5,2.46,48hs,470
10883.0,820,4,30,10701.5,BANCO COMAFI S.A.,,No,17:00:02,10931.0,10536.5,11491375,10519.5,10780.0833,10735.9217,10851.0,CAT,-1,Pesos,10549.0,-1.43,48hs,1059
36.25,2,1,1,38.0,,,No,17:00:02,36.25,36.25,507,35.5,36.25,36.25,40.0,CATD,0,Du00f3lar efectivo,36.25,-4.61,48hs,14
0.0,3005,3005,,0.0,BANCO COMAFI S.A.,,No,,0.0,0.0,0,1242.0,0.0,0.0,1279.0,CBRD,0,Pesos,0.0,0.0,48hs,0
908.0,2,150,16,950.0,BANCO COMAFI S.A.,,No,17:00:02,950.0,902.0,449377,750.0,921.9062,927.1534,1020.0,CDE,0,Pesos,950.0,0.0,48hs,483
7785.5,495,2,3,7593.0,BANCO COMAFI S.A.,,No,17:00:02,7826.5,7785.5,4616855,7576.5,7803.3333,7803.3404,7953.0,CL,-1,Pesos,7812.5,2.89,48hs,593
785.0,10,4,788,760.5,BANCO COMAFI S.A.,,No,17:00:02,818.0,765.0,61489703,600.0,798.6003,796.9533,852.0,COIN,1,Pesos,768.0,0.99,48hs,76911
0.0,3807,1,,0.0,,,No,,0.0,0.0,0,2.65,0.0,0.0,2.9,COIND,0,Du00f3lar efectivo,0.0,0.0,48hs,0
12785.0,300,3,17,12646.0,BANCO COMAFI S.A.,,No,17:00:02,12890.5,12685.0,5971625,12474.0,12789.0294,12797.6744,14100.0,COST,-1,Pesos,12685.0,0.31,48hs,466
0.0,1,0,,0.0,,,No,,0.0,0.0,0,41.0,0.0,0.0,0.0,COSTD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
7587.5,498,14,37,7556.0,BANCO COMAFI S.A.,,No,17:00:02,7771.0,7571.5,3190426,7471.5,7694.6622,7699.6697,8788.0,CRM,-1,Pesos,7571.5,0.21,48hs,415
0.0,396,7,,0.0,,,No,,0.0,0.0,0,25.8,0.0,0.0,40.0,CRMD,0,Du00f3lar efectivo,0.0,0.0,48hs,0
1547.0,7,23,1,1511.5,BANCO COMAFI S.A.,,No,17:00:02,1547.0,1547.0,1547,1528.0,1547.0,1547.0,1800.0,CS,0,Pesos,1547.0,2.35,48hs,1
2602.0,5,17,39,2602.0,BANCO COMAFI S.A.,,No,17:00:02,2617.5,2550.0,1302569,2550.0,2587.2308,2578.5667,2700.0,CSCO,-1,Pesos,2565.5,-1.4,48hs,504
8.95,15,50,1,9.0,,,No,17:00:02,8.95,8.95,8,8.55,8.95,8.95,14.0,CSCOD,0,Du00f3lar efectivo,8.95,-0.56,48hs,1
5980.0,1,15,90,5896.0,BANCO COMAFI S.A.,,No,17:00:02,6080.0,5924.0,18053211,5347.0,6010.2,6024.289,6100.0,CVX,-1,Pesos,5960.0,1.09,48hs,2998
20.25,9,26,7,20.0,,,No,17:00:02,20.25,20.2,3097,19.3,20.2429,20.2407,22.0,CVXD,1,Du00f3lar efectivo,20.25,1.25,48hs,153
1108.0,2,7,13,1075.0,BANCO COMAFI S.A.,,No,17:00:02,1120.0,1085.0,76007,1000.0,1105.3462,1108.4298,1516.0,CX,0,Pesos,1120.0,4.19,48hs,69
3306.0,1145,1150,10,3270.0,BANCO COMAFI S.A.,,No,17:00:02,3353.5,3270.0,5237898,3234.0,3315.55,3317.9739,3298.0,DD,1,Pesos,3279.5,0.29,48hs,1563
10882.0,1,599,14,10719.0,BANCO COMAFI S.A.,,No,17:00:02,10979.0,10709.5,487620,10700.0,10831.9643,10798.7535,10781.5,DE,-1,Pesos,10750.5,0.29,48hs,45
0.0,280,80,,0.0,,,No,,0.0,0.0,0,36.4,0.0,0.0,37.05,DED,0,Du00f3lar efectivo,0.0,0.0,48hs,0
8800.5,1030,726,2,8751.5,BANCO COMAFI S.A.,,No,17:00:02,8815.0,8800.5,5129387,8841.5,8807.75,8813.5433,8887.0,DEO,1,Pesos,8815.0,0.73,48hs,582
2134.0,5,22,95,2141.5,BANCO COMAFI S.A.,,No,17:00:02,2158.5,2080.0,1811236,2053.0,2124.2211,2125.7979,2340.0,DESP,1,Pesos,2089.0,-2.45,48hs,856
